id,name,jdtdb,x_au,y_au,z_au,vx_au_per_day,vy_au_per_day,vz_au_per_day
10,Sun,2461041.5,-3.067316167378726E-03,-5.533329071575707E-03,1.316841939795200E-04,7.176071432730415E-06,1.778134123198417E-07,-1.358857619127603E-07
199,Mercury,2461041.5,-2.182686205450464E-01,-4.147409447718479E-01,-1.357158539794414E-02,1.923902835424443E-02,-1.173744846416334E-02,-2.723291810929642E-03
299,Venus,2461041.5,8.580993344897782E-02,-7.272957113886563E-01,-1.491237238108241E-02,1.994573625940069E-02,2.400543706150917E-03,-1.117607682227194E-03
399,Earth,2461041.5,-1.773487970879621E-01,9.622255911830275E-01,7.223908380425527E-05,-1.719737129724856E-02,-3.116429209131983E-03,1.012925163112427E-07
499,Mars,2461041.5,3.375123606948364E-01,-1.392535345016830E+00,-3.728554259372147E-02,1.412658802546371E-02,4.540381008652786E-03,-2.512212446492001E-04
599,Jupiter,2461041.5,-1.697071008754108E+00,4.923349029644380E+00,1.755790482005730E-02,-7.223752894829236E-03,-2.102268198382211E-03,1.703255870248536E-04
699,Saturn,2461041.5,9.504274336121524E+00,2.522057109373251E-01,-3.828039976412389E-01,-4.561853105511509E-04,5.564228351231018E-03,-7.827714242349572E-05
799,Uranus,2461041.5,9.877243613377043E+00,1.679447879433271E+01,-6.558795503270913E-02,-3.419297179974940E-03,1.810589188096015E-03,5.115484295657599E-05
899,Neptune,2461041.5,2.986905504189742E+01,5.134050145418825E-01,-6.989358025499135E-01,-7.476965458988524E-05,3.156853330784908E-03,-6.356541071447219E-05
999,Pluto,2461041.5,1.922484414056528E+01,-2.965791380511750E+01,-2.387381518760511E+00,2.728689942966607E-03,1.020037781667916E-03,-8.903339313070804E-04
301,Moon,2461041.5,-1.763840391885575E-01,9.644274663123614E-01,2.844946205616522E-04,-1.777741124760916E-02,-2.873359211769047E-03,3.327021959334017E-06
-31,Voyager 1,2461041.5,-3.183948127685591E+01,-1.346840182311502E+02,9.744493788733705E+01,-1.189975870169131E-03,-7.860900107098556E-03,5.679869962191227E-03
-32,Voyager 2,2461041.5,3.922446468991922E+01,-1.039970830396301E+02,-8.791852639070291E+01,2.434859406950814E-03,-5.394894080755248E-03,-6.538555460291718E-03
-98,New Horizons,2461041.5,2.000656551083472E+01,-6.030998458668757E+01,2.213060950285318E+00,3.077671130435182E-03,-7.229089715272227E-03,2.844198448394011E-04
-96,Parker Solar Probe,2461041.5,3.454307214070971E-01,-4.423966427527236E-01,-2.599689858625499E-02,1.618024164239428E-02,-5.796278787299200E-03,-1.012227114827798E-03
-170,James Webb Space Telescope,2461041.5,-1.767435510344636E-01,9.733180074384848E-01,-2.212459510418791E-03,-1.723846100178099E-02,-3.115266486064749E-03,2.707389169451043E-05
