pl_name,hostname,pl_orbsmax,pl_orbper,pl_orbeccen,pl_bmasse,pl_rade,st_mass,st_rad,st_teff
"Kepler-1753 b","Kepler-1753",0.1179000000,16.00460052000,0.000000,5.59000000,2.22678077,0.860000,0.769000,5180.00
"K2-126 b","K2-126",0.0656000000,7.38565500000,0.060000,4.54000000,1.97000000,0.690000,0.650000,4339.00
"Kepler-1263 b","Kepler-1263",0.0499000000,4.55139967000,0.000000,1.55000000,1.14000000,0.840000,0.800000,5213.00
"Kepler-1416 b","Kepler-1416",0.0257000000,1.49514952000,0.000000,0.61500000,0.88000000,1.090000,1.150000,6019.00
"Kepler-1542 c","Kepler-1542",0.0387000000,2.89223021000,0.000000,0.20800000,0.65000000,0.940000,0.990000,5564.00
"K2-85 b","K2-85",0.0130000000,0.68453862616,0.240000,3.20000000,1.40000000,0.700000,0.710000,4232.00
"Kepler-770 b","Kepler-770",0.1694000000,18.92540274000,0.000000,5.90000000,2.30000000,0.940000,0.920000,5598.00
"Kepler-1399 b","Kepler-1399",0.0276000000,1.63865305800,0.000000,2.10000000,1.25000000,0.970000,0.960000,5735.00
"K2-80 c","K2-80",0.0596000000,5.60500000000,,2.76000000,1.47000000,0.900000,0.870000,5441.00
"Kepler-65 c","Kepler-65",0.0680000000,5.85994400000,0.020000,5.40000000,2.58000000,1.250000,1.410000,6211.00
"Kepler-939 b","Kepler-939",0.1153000000,14.87829600000,0.000000,3.71000000,1.75000000,0.880000,0.850000,5471.00
"Kepler-1028 b","Kepler-1028",0.0354000000,2.51462432000,0.000000,2.33000000,1.33000000,0.900000,0.870000,5522.00
"Kepler-768 b","Kepler-768",0.0920000000,11.39100250000,0.000000,3.86000000,1.79000000,0.820000,0.780000,5108.00
"Kepler-796 b","Kepler-796",0.0731700000,6.40087618000,0.000000,2.24000000,1.30000000,0.930000,1.090000,5475.00
"Kepler-110 b","Kepler-110",0.1070000000,12.69111200000,0.000000,4.01000000,1.83000000,0.989000,1.149000,5960.00
"Kepler-1042 b","Kepler-1042",0.0756000000,10.13202575000,0.000000,5.43000000,2.19000000,0.750000,0.720000,4815.00
"Kepler-334 c","Kepler-334",0.1070000000,12.75800500000,0.000000,2.63000000,1.43000000,1.022000,1.068000,5828.00
"Kepler-1117 b","Kepler-1117",0.0548500000,4.79028459000,0.000000,1.41000000,1.11000000,0.950000,0.930000,5612.00
"Kepler-1831 b","Kepler-1831",0.0655000000,5.78387022000,0.000000,4.54000000,1.97019818,1.117000,1.012000,6063.00
"Kepler-1245 b","Kepler-1245",0.0484000000,4.35409304000,0.000000,2.67000000,1.44000000,0.860000,0.830000,5306.00
"Kepler-114 b","Kepler-114",0.0530000000,5.18854900000,0.000000,1.09000000,1.26000000,0.770000,0.667000,4605.00
"Kepler-1105 b","Kepler-1105",0.0471000000,4.42157218200,0.000000,4.70000000,2.01000000,0.710000,0.680000,4299.00
"Kepler-187 b","Kepler-187",0.0590000000,4.93886400000,0.000000,2.57000000,1.41000000,1.081000,1.287000,6105.00
"Kepler-1379 b","Kepler-1379",0.0171000000,0.88184114600,0.000000,2.24000000,1.30000000,0.830000,0.790000,5188.00
"Kepler-304 c","Kepler-304",0.0540000000,5.31594600000,0.000000,5.35000000,2.17000000,0.737000,0.687000,4731.00
"Kepler-1291 b","Kepler-1291",0.0779000000,8.63043276000,0.000000,3.39000000,1.66000000,0.840000,0.800000,5216.00
"Kepler-304 e","Kepler-304",0.0231700000,1.49914695300,0.000000,1.87000000,1.20000000,0.800000,0.730000,4817.00
